Loss Function,Noise Level,Epoch,Loss,Train Accuracy,Test Accuracy
CrossEntropy,0.2,1,1.6675779173136367,0.46756,0.6611
CrossEntropy,0.2,2,1.5084423915199612,0.5493,0.7273
CrossEntropy,0.2,3,1.3527257960775625,0.61798,0.7613
CrossEntropy,0.2,4,1.250952649299446,0.65624,0.7643
CrossEntropy,0.2,5,1.1470958787157102,0.68424,0.7751
CrossEntropy,0.2,6,1.0190666945998932,0.71472,0.7447
CrossEntropy,0.2,7,0.8493368994549412,0.75246,0.7273
CrossEntropy,0.2,8,0.6313042724528886,0.80568,0.7077
CrossEntropy,0.2,9,0.4297152011062178,0.8619,0.6981
CrossEntropy,0.2,10,0.301002813955707,0.90068,0.6729
CrossEntropy,0.2,11,0.22686038391135843,0.92518,0.6733
CrossEntropy,0.2,12,0.18150264945100336,0.9392,0.6673
CrossEntropy,0.2,13,0.14857030848560432,0.9506,0.6726
CrossEntropy,0.2,14,0.13977233086572127,0.95414,0.6749
CrossEntropy,0.2,15,0.12235015665021394,0.95998,0.6799
CrossEntropy,0.2,16,0.11295160871056263,0.96356,0.6709
CrossEntropy,0.2,17,0.12573557043128916,0.95912,0.6672
CrossEntropy,0.2,18,0.10584597525608433,0.96584,0.6655
CrossEntropy,0.2,19,0.10041219789934966,0.96672,0.6865
CrossEntropy,0.2,20,0.09932823290529154,0.96884,0.6737
CrossEntropy,0.2,21,0.0861957777062874,0.97188,0.6727
CrossEntropy,0.2,22,0.09736985164930297,0.96798,0.6795
CrossEntropy,0.2,23,0.07742876694787798,0.97516,0.6684
CrossEntropy,0.2,24,0.0870006902291037,0.97184,0.6771
CrossEntropy,0.2,25,0.08371618125454315,0.97304,0.678
CrossEntropy,0.2,26,0.07997979230516593,0.97374,0.6636
CrossEntropy,0.2,27,0.08214801239550037,0.97388,0.6694
CrossEntropy,0.2,28,0.0638944254443764,0.97886,0.6659
CrossEntropy,0.2,29,0.0772875583542468,0.9754,0.6622
CrossEntropy,0.2,30,0.077648115830253,0.97542,0.6677
CrossEntropy,0.2,31,0.0706303562978497,0.97684,0.6699
CrossEntropy,0.2,32,0.06279573071500301,0.97952,0.6716
CrossEntropy,0.2,33,0.057976358610650765,0.98112,0.6606
CrossEntropy,0.2,34,0.07024162500748968,0.97726,0.6662
CrossEntropy,0.2,35,0.06748653803963947,0.97816,0.6677
CrossEntropy,0.2,36,0.056335150548245026,0.98178,0.6764
CrossEntropy,0.2,37,0.06377875217643883,0.97976,0.6731
CrossEntropy,0.2,38,0.06891306258304536,0.9793,0.6647
CrossEntropy,0.2,39,0.05749407256810504,0.98168,0.6774
CrossEntropy,0.2,40,0.05223417963804034,0.98364,0.6537
CrossEntropy,0.2,41,0.05438834612491205,0.98258,0.6617
CrossEntropy,0.2,42,0.05099739901045018,0.98394,0.6723
CrossEntropy,0.2,43,0.049294949987965166,0.98472,0.664
CrossEntropy,0.2,44,0.05290887823514164,0.98338,0.6748
CrossEntropy,0.2,45,0.06267952260411228,0.98022,0.6712
CrossEntropy,0.2,46,0.04622384661759781,0.98582,0.6808
CrossEntropy,0.2,47,0.04997261943813066,0.98448,0.6796
CrossEntropy,0.2,48,0.051419587760015636,0.98344,0.6778
CrossEntropy,0.2,49,0.03958686099678297,0.98732,0.6751
CrossEntropy,0.2,50,0.04513918445415824,0.98534,0.6647
FocalLoss,0.2,1,1.2409558627001769,0.45152,0.5849
FocalLoss,0.2,2,1.1102857836676985,0.52682,0.6667
FocalLoss,0.2,3,0.9908951476711751,0.59496,0.734
FocalLoss,0.2,4,0.9130003754135287,0.63282,0.7448
FocalLoss,0.2,5,0.8375587262156065,0.65752,0.7593
FocalLoss,0.2,6,0.7378025717290161,0.68014,0.7371
FocalLoss,0.2,7,0.6107118352294882,0.71064,0.7223
FocalLoss,0.2,8,0.4340528040133474,0.7604,0.6768
FocalLoss,0.2,9,0.26778220040414036,0.82836,0.661
FocalLoss,0.2,10,0.18178030762754743,0.8695,0.6686
FocalLoss,0.2,11,0.12744578755343966,0.90444,0.6568
FocalLoss,0.2,12,0.10710865854168944,0.91804,0.6688
FocalLoss,0.2,13,0.0871470344474401,0.93034,0.6601
FocalLoss,0.2,14,0.08620907981758533,0.93218,0.6682
FocalLoss,0.2,15,0.08901954601373514,0.9305,0.6744
FocalLoss,0.2,16,0.06791945829835085,0.94324,0.666
FocalLoss,0.2,17,0.07069837860048503,0.94254,0.6583
FocalLoss,0.2,18,0.07704480787467621,0.9392,0.6589
FocalLoss,0.2,19,0.0623164090930539,0.94846,0.669
FocalLoss,0.2,20,0.05096456394447466,0.95724,0.6727
FocalLoss,0.2,21,0.06640617063035593,0.94666,0.6739
FocalLoss,0.2,22,0.05833541903682911,0.95288,0.6615
FocalLoss,0.2,23,0.05491606332599888,0.95486,0.6719
FocalLoss,0.2,24,0.05001960387048514,0.95902,0.6816
FocalLoss,0.2,25,0.04598400711684542,0.96264,0.666
FocalLoss,0.2,26,0.06115533620871775,0.9505,0.6675
FocalLoss,0.2,27,0.046284020775952915,0.96072,0.6566
FocalLoss,0.2,28,0.0395372843076868,0.96562,0.6773
FocalLoss,0.2,29,0.04270032851639992,0.96512,0.6585
FocalLoss,0.2,30,0.044884787987955775,0.96356,0.6731
FocalLoss,0.2,31,0.03605163071418891,0.96966,0.6512
FocalLoss,0.2,32,0.04612010158360233,0.9627,0.6695
FocalLoss,0.2,33,0.04280298602198015,0.96372,0.6664
FocalLoss,0.2,34,0.02950808236165844,0.97574,0.684
FocalLoss,0.2,35,0.03430379041746887,0.97192,0.6595
FocalLoss,0.2,36,0.04383680994963021,0.9638,0.6602
FocalLoss,0.2,37,0.038764459201280035,0.96742,0.6723
FocalLoss,0.2,38,0.03209656176855192,0.97286,0.6661
FocalLoss,0.2,39,0.029793628244934714,0.97524,0.6718
FocalLoss,0.2,40,0.03130761621927228,0.974,0.6679
FocalLoss,0.2,41,0.03280674524919685,0.97298,0.6652
FocalLoss,0.2,42,0.03380736123378653,0.97172,0.6628
FocalLoss,0.2,43,0.030393884318363866,0.97568,0.6697
FocalLoss,0.2,44,0.03081342887581157,0.9738,0.6639
FocalLoss,0.2,45,0.026137966674554834,0.97776,0.67
FocalLoss,0.2,46,0.030691642382675233,0.9742,0.6669
FocalLoss,0.2,47,0.030718570651338838,0.97408,0.6688
FocalLoss,0.2,48,0.032338469486643116,0.97288,0.6713
FocalLoss,0.2,49,0.02418057958263775,0.97836,0.6638
FocalLoss,0.2,50,0.020850490794315828,0.98176,0.6603
Normalized CrossEntropy,0.2,1,0.04152421379352317,0.44628,0.6157
Normalized CrossEntropy,0.2,2,0.031456651728209634,0.44362,0.493
Normalized CrossEntropy,0.2,3,0.027393215967108833,0.46576,0.5396
Normalized CrossEntropy,0.2,4,0.025569219563794716,0.47226,0.548
Normalized CrossEntropy,0.2,5,0.02464283048353918,0.45054,0.4951
Normalized CrossEntropy,0.2,6,0.023714881455835404,0.43792,0.4259
Normalized CrossEntropy,0.2,7,0.022810387508491115,0.42588,0.4662
Normalized CrossEntropy,0.2,8,0.021010288205283605,0.41816,0.4689
Normalized CrossEntropy,0.2,9,0.019506323446645914,0.39898,0.4455
Normalized CrossEntropy,0.2,10,0.018474182788678028,0.37822,0.3668
Normalized CrossEntropy,0.2,11,0.0179573627631835,0.36144,0.4037
Normalized CrossEntropy,0.2,12,0.015529260901874765,0.34942,0.3964
Normalized CrossEntropy,0.2,13,0.013374037791134032,0.34786,0.4553
Normalized CrossEntropy,0.2,14,0.012053948882467035,0.34128,0.3733
Normalized CrossEntropy,0.2,15,0.012030557227318587,0.3188,0.4115
Normalized CrossEntropy,0.2,16,0.013289199086546879,0.30522,0.3438
Normalized CrossEntropy,0.2,17,0.009475976241070092,0.31378,0.3499
Normalized CrossEntropy,0.2,18,0.006861317212648137,0.31084,0.3787
Normalized CrossEntropy,0.2,19,0.005887885383703053,0.30434,0.3192
Normalized CrossEntropy,0.2,20,0.005444367645014211,0.30164,0.3307
Normalized CrossEntropy,0.2,21,0.004419441713625208,0.29978,0.3692
Normalized CrossEntropy,0.2,22,0.005356432733517807,0.29376,0.3193
Normalized CrossEntropy,0.2,23,0.006455322652233436,0.28034,0.3448
Normalized CrossEntropy,0.2,24,0.0036989533867332084,0.28062,0.3405
Normalized CrossEntropy,0.2,25,0.0031223445888096586,0.28546,0.3041
Normalized CrossEntropy,0.2,26,0.0037982385295777894,0.2794,0.2974
Normalized CrossEntropy,0.2,27,0.003368535263361433,0.27548,0.315
Normalized CrossEntropy,0.2,28,0.0043326251753195025,0.26726,0.2979
Normalized CrossEntropy,0.2,29,0.006272002466587478,0.26404,0.3492
Normalized CrossEntropy,0.2,30,0.008406912474005776,0.2643,0.2852
Normalized CrossEntropy,0.2,31,0.004508337310855956,0.26562,0.3137
Normalized CrossEntropy,0.2,32,0.003631750622134813,0.26022,0.287
Normalized CrossEntropy,0.2,33,0.003762059484023715,0.25214,0.2719
Normalized CrossEntropy,0.2,34,0.007294705015910275,0.24404,0.2798
Normalized CrossEntropy,0.2,35,0.0051969425849374765,0.24832,0.272
Normalized CrossEntropy,0.2,36,0.0024679393589120274,0.2553,0.3073
Normalized CrossEntropy,0.2,37,0.0015311766639286343,0.25586,0.2699
Normalized CrossEntropy,0.2,38,0.002978467703302679,0.24692,0.2881
Normalized CrossEntropy,0.2,39,0.0024650985488335808,0.24628,0.2566
Normalized CrossEntropy,0.2,40,0.001166410748656277,0.2529,0.2904
Normalized CrossEntropy,0.2,41,0.001034007215684237,0.25062,0.2732
Normalized CrossEntropy,0.2,42,0.0010219022715086108,0.25432,0.2777
Normalized CrossEntropy,0.2,43,0.000832819440604552,0.2558,0.2451
Normalized CrossEntropy,0.2,44,0.0008515481273774677,0.25882,0.281
Normalized CrossEntropy,0.2,45,0.0017726374422366757,0.26164,0.2619
Normalized CrossEntropy,0.2,46,0.004034155695041156,0.24156,0.2978
Normalized CrossEntropy,0.2,47,0.0029512233889240134,0.24464,0.2416
Normalized CrossEntropy,0.2,48,0.001486270398552389,0.2474,0.2893
Normalized CrossEntropy,0.2,49,0.0033186056622592232,0.2365,0.2828
Normalized CrossEntropy,0.2,50,0.0038077017358478034,0.23598,0.2686
Normalized FocalLoss,0.2,1,0.03998442886449644,0.39314,0.4831
Normalized FocalLoss,0.2,2,0.03213287286860559,0.35662,0.4051
Normalized FocalLoss,0.2,3,0.027799395887214508,0.37126,0.4286
Normalized FocalLoss,0.2,4,0.026594332675390003,0.35886,0.434
Normalized FocalLoss,0.2,5,0.024886078110722173,0.352,0.4238
Normalized FocalLoss,0.2,6,0.02440394216414798,0.34308,0.3719
Normalized FocalLoss,0.2,7,0.023478412529086824,0.32854,0.3341
Normalized FocalLoss,0.2,8,0.02218408140596812,0.31656,0.3886
Normalized FocalLoss,0.2,9,0.02147605857106826,0.31202,0.3056
Normalized FocalLoss,0.2,10,0.02253474926580782,0.28112,0.2945
Normalized FocalLoss,0.2,11,0.020644072420023325,0.28334,0.3157
Normalized FocalLoss,0.2,12,0.018674423960108988,0.2909,0.3159
Normalized FocalLoss,0.2,13,0.017679541119876914,0.28134,0.2711
Normalized FocalLoss,0.2,14,0.01695139081154228,0.27728,0.2867
Normalized FocalLoss,0.2,15,0.01622406170135388,0.26696,0.2956
Normalized FocalLoss,0.2,16,0.013852045554078192,0.2692,0.2976
Normalized FocalLoss,0.2,17,0.013530341947339285,0.25274,0.2973
Normalized FocalLoss,0.2,18,0.012060730678477155,0.25388,0.3067
Normalized FocalLoss,0.2,19,0.013232678655520691,0.2444,0.2984
Normalized FocalLoss,0.2,20,0.011040658712365647,0.2422,0.2775
Normalized FocalLoss,0.2,21,0.010490780419228202,0.2393,0.261
Normalized FocalLoss,0.2,22,0.00844569373226789,0.23436,0.2588
Normalized FocalLoss,0.2,23,0.008180322716562816,0.23058,0.2668
Normalized FocalLoss,0.2,24,0.007597311885337896,0.23204,0.2634
Normalized FocalLoss,0.2,25,0.007552621652708029,0.22496,0.2369
Normalized FocalLoss,0.2,26,0.007328000434143159,0.22386,0.2453
Normalized FocalLoss,0.2,27,0.00716234777358544,0.21498,0.2645
Normalized FocalLoss,0.2,28,0.007755342454416082,0.21802,0.2355
Normalized FocalLoss,0.2,29,0.009200707944544733,0.21478,0.2475
Normalized FocalLoss,0.2,30,0.007214126870115919,0.22208,0.2709
Normalized FocalLoss,0.2,31,0.005113469722443749,0.22024,0.2353
Normalized FocalLoss,0.2,32,0.004141711025222507,0.21764,0.2345
Normalized FocalLoss,0.2,33,0.005031449956964711,0.21158,0.2502
Normalized FocalLoss,0.2,34,0.007568466186653251,0.21144,0.2285
Normalized FocalLoss,0.2,35,0.00781390570712102,0.20538,0.243
Normalized FocalLoss,0.2,36,0.00895699548735724,0.2054,0.2262
Normalized FocalLoss,0.2,37,0.004089772278029719,0.20958,0.2336
Normalized FocalLoss,0.2,38,0.005551597129677415,0.20304,0.2396
Normalized FocalLoss,0.2,39,0.003472348954781647,0.20532,0.2393
Normalized FocalLoss,0.2,40,0.0054951208337541205,0.20284,0.2606
Normalized FocalLoss,0.2,41,0.006414960454324679,0.2041,0.2238
Normalized FocalLoss,0.2,42,0.00559832364745924,0.20562,0.2203
Normalized FocalLoss,0.2,43,0.004068988111570401,0.2063,0.2262
Normalized FocalLoss,0.2,44,0.0023019951779384624,0.20494,0.2293
Normalized FocalLoss,0.2,45,0.00399015177643615,0.20806,0.2131
Normalized FocalLoss,0.2,46,0.005307196124615814,0.20768,0.1928
Normalized FocalLoss,0.2,47,0.01090740173122586,0.1985,0.252
Normalized FocalLoss,0.2,48,0.007033624766913154,0.20258,0.2249
Normalized FocalLoss,0.2,49,0.006309178046723756,0.20034,0.2251
Normalized FocalLoss,0.2,50,0.0053181594873056804,0.20274,0.1902
APL,0.2,1,0.5722908514844792,0.40012,0.5803
APL,0.2,2,0.7347822886751131,0.21194,0.1003
APL,0.2,3,0.8381802509812748,0.10064,0.1004
APL,0.2,4,0.837385853843006,0.10156,0.1
APL,0.2,5,0.8383860217640772,0.1006,0.1
APL,0.2,6,0.838379731263651,0.1006,0.1
APL,0.2,7,0.8383960172038554,0.1006,0.1
APL,0.2,8,0.8383477414050675,0.1006,0.1
APL,0.2,9,0.8382365944440408,0.1006,0.1
APL,0.2,10,0.8337130516081515,0.10532,0.1071
APL,0.2,11,0.8375063207753174,0.10146,0.1
